"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native","Estimate_Total_Native_Born_in_state_of_residence","Estimate_Total_Native_Born_in_other_state_in_the_United_States","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Northeast","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Midwest","Estimate_Total_Native_Born_in_other_state_in_the_United_States_South","Estimate_Total_Native_Born_in_other_state_in_the_United_States_West","Estimate_Total_Native_Born_outside_the_United_States","Estimate_Total_Native_Born_outside_the_United_States_Puerto_Rico","Estimate_Total_Native_Born_outside_the_United_States_U.S._Island_Areas","Estimate_Total_Native_Born_outside_the_United_States_Born_abroad_of_American_parent(s)","Estimate_Total_Foreign_born","Estimate_Total_Foreign_born_Naturalized_U.S._citizen","Estimate_Total_Foreign_born_Not_a_U.S._citizen","NA"
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","5398","5319","3671","1584","343","614","533","94","64","13","0","51","79","67","12",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","1819","1693","864","816","177","222","345","72","13","0","0","13","126","76","50",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","822","793","449","317","97","95","101","24","27","6","0","21","29","28","1",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","4599","4351","2464","1728","624","428","497","179","159","51","0","108","248","193","55",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","6021","5800","3410","2326","832","715","618","161","64","22","0","42","221","103","118",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","11247","9567","4312","4989","1594","1270","1698","427","266","96","0","170","1680","1018","662",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","9859","8671","3710","4744","1513","1328","1424","479","217","82","0","135","1188","725","463",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","3675","2967","1405","1517","478","496","440","103","45","26","11","8","708","514","194",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","2525","2325","1142","1108","496","195","314","103","75","32","0","43","200","131","69",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","7854","7103","3181","3768","1068","924","1210","566","154","51","0","103","751","358","393",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","4331","4152","3021","1013","382","202","404","25","118","38","0","80","179","144","35",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","5826","5209","3458","1656","451","410","665","130","95","18","0","77","617","146","471",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","2477","2401","1592","768","213","184","326","45","41","18","0","23","76","9","67",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","5501","4688","2815","1754","660","358","672","64","119","103","0","16","813","227","586",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","1891","1760","981","707","209","211","260","27","72","44","0","28","131","93","38",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","2175","2007","812","1138","304","274","424","136","57","54","0","3","168","134","34",NA
