Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_English_only,Estimate_Total_Spanish,Estimate_Total_Spanish_Limited_English_speaking_household,Estimate_Total_Spanish_Not_a_limited_English_speaking_household,Estimate_Total_French_Haitian_or_Cajun,Estimate_Total_French_Haitian_or_Cajun_Limited_English_speaking_household,Estimate_Total_French_Haitian_or_Cajun_Not_a_limited_English_speaking_household,Estimate_Total_German_or_other_West_Germanic_languages,Estimate_Total_German_or_other_West_Germanic_languages_Limited_English_speaking_household,Estimate_Total_German_or_other_West_Germanic_languages_Not_a_limited_English_speaking_household,Estimate_Total_Russian_Polish_or_other_Slavic_languages,Estimate_Total_Russian_Polish_or_other_Slavic_languages_Limited_English_speaking_household,Estimate_Total_Russian_Polish_or_other_Slavic_languages_Not_a_limited_English_speaking_household,Estimate_Total_Other_Indo-European_languages,Estimate_Total_Other_Indo-European_languages_Limited_English_speaking_household,Estimate_Total_Other_Indo-European_languages_Not_a_limited_English_speaking_household,Estimate_Total_Korean,Estimate_Total_Korean_Limited_English_speaking_household,Estimate_Total_Korean_Not_a_limited_English_speaking_household,Estimate_Total_Chinese_(incl._Mandarin_Cantonese),Estimate_Total_Chinese_(incl._Mandarin_Cantonese)_Limited_English_speaking_household,Estimate_Total_Chinese_(incl._Mandarin_Cantonese)_Not_a_limited_English_speaking_household,Estimate_Total_Vietnamese,Estimate_Total_Vietnamese_Limited_English_speaking_household,Estimate_Total_Vietnamese_Not_a_limited_English_speaking_household,Estimate_Total_Tagalog_(incl._Filipino),Estimate_Total_Tagalog_(incl._Filipino)_Limited_English_speaking_household,Estimate_Total_Tagalog_(incl._Filipino)_Not_a_limited_English_speaking_household,Estimate_Total_Other_Asian_and_Pacific_Island_languages,Estimate_Total_Other_Asian_and_Pacific_Island_languages_Limited_English_speaking_household,Estimate_Total_Other_Asian_and_Pacific_Island_languages_Not_a_limited_English_speaking_household,Estimate_Total_Arabic,Estimate_Total_Arabic_Limited_English_speaking_household,Estimate_Total_Arabic_Not_a_limited_English_speaking_household,Estimate_Total_Other_and_unspecified_languages,Estimate_Total_Other_and_unspecified_languages_Limited_English_speaking_household,Estimate_Total_Other_and_unspecified_languages_Not_a_limited_English_speaking_household
1400000US12001002002,Census Tract 20.02; Alachua County; Florida,1613,1541,51,13,38,0,0,0,14,0,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
1400000US12001002101,Census Tract 21.01; Alachua County; Florida,885,783,78,0,78,5,5,0,10,0,10,5,0,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,1,0,1
1400000US12001002102,Census Tract 21.02; Alachua County; Florida,531,485,20,3,17,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0
1400000US12001002201,Census Tract 22.01; Alachua County; Florida,2364,1979,164,39,125,0,0,0,18,0,18,0,0,0,88,28,60,0,0,0,14,0,14,29,0,29,39,0,39,33,0,33,0,0,0,0,0,0
1400000US12001002202,Census Tract 22.02; Alachua County; Florida,2553,2317,197,0,197,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0
1400000US12001002204,Census Tract 22.04; Alachua County; Florida,5356,3803,345,16,329,0,0,0,68,0,68,202,0,202,292,0,292,60,60,0,110,0,110,29,0,29,50,0,50,328,0,328,31,0,31,38,0,38
1400000US12001002207,Census Tract 22.07; Alachua County; Florida,1455,1013,129,0,129,23,0,23,16,0,16,87,0,87,49,12,37,22,0,22,47,0,47,10,0,10,20,0,20,39,0,39,0,0,0,0,0,0
1400000US12001002208,Census Tract 22.08; Alachua County; Florida,1103,947,40,0,40,0,0,0,19,0,19,8,0,8,37,0,37,0,0,0,22,0,22,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0
1400000US12001002209,Census Tract 22.09; Alachua County; Florida,3446,2846,212,5,207,12,0,12,68,0,68,8,0,8,177,0,177,50,0,50,15,0,15,12,0,12,0,0,0,46,0,46,0,0,0,0,0,0
1400000US12001002210,Census Tract 22.10; Alachua County; Florida,2024,1552,383,0,383,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,18,0,18,0,0,0,16,0,16
1400000US12001002217,Census Tract 22.17; Alachua County; Florida,2967,2298,574,53,521,0,0,0,0,0,0,15,15,0,51,0,51,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12001002218,Census Tract 22.18; Alachua County; Florida,1495,1089,263,24,239,7,0,7,0,0,0,21,0,21,16,0,16,0,0,0,16,8,8,0,0,0,56,0,56,6,0,6,0,0,0,21,0,21
1400000US12001002219,Census Tract 22.19; Alachua County; Florida,2774,2019,387,43,344,0,0,0,31,0,31,31,31,0,24,0,24,15,15,0,52,0,52,0,0,0,103,0,103,13,0,13,0,0,0,99,0,99
1400000US12001002220,Census Tract 22.20; Alachua County; Florida,1044,792,161,0,161,11,0,11,0,0,0,0,0,0,63,0,63,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12001002221,Census Tract 22.21; Alachua County; Florida,2304,1778,206,11,195,0,0,0,0,0,0,0,0,0,57,0,57,86,0,86,60,0,60,0,0,0,0,0,0,106,19,87,11,0,11,0,0,0
1400000US12001002222,Census Tract 22.22; Alachua County; Florida,2980,2176,282,0,282,0,0,0,0,0,0,105,0,105,87,0,87,13,0,13,97,0,97,0,0,0,99,0,99,83,0,83,21,0,21,17,0,17
1400000US12001110800,Census Tract 1108; Alachua County; Florida,898,718,105,0,105,14,0,14,0,0,0,0,0,0,27,19,8,0,0,0,0,0,0,9,0,9,4,0,4,11,0,11,10,0,10,0,0,0
