"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Male","Estimate_Total_Male_Under_5_years","Estimate_Total_Male_5_to_9_years","Estimate_Total_Male_10_to_14_years","Estimate_Total_Male_15_to_19_years","Estimate_Total_Male_20_to_24_years","Estimate_Total_Male_25_to_29_years","Estimate_Total_Male_30_to_34_years","Estimate_Total_Male_35_to_39_years","Estimate_Total_Male_40_to_44_years","Estimate_Total_Male_45_to_49_years","Estimate_Total_Male_50_to_54_years","Estimate_Total_Male_55_to_59_years","Estimate_Total_Male_60_to_64_years","Estimate_Total_Male_65_to_69_years","Estimate_Total_Male_70_to_74_years","Estimate_Total_Male_75_to_79_years","Estimate_Total_Male_80_to_84_years","Estimate_Total_Male_85_years_and_over","Estimate_Total_Female","Estimate_Total_Female_Under_5_years","Estimate_Total_Female_5_to_9_years","Estimate_Total_Female_10_to_14_years","Estimate_Total_Female_15_to_19_years","Estimate_Total_Female_20_to_24_years","Estimate_Total_Female_25_to_29_years","Estimate_Total_Female_30_to_34_years","Estimate_Total_Female_35_to_39_years","Estimate_Total_Female_40_to_44_years","Estimate_Total_Female_45_to_49_years","Estimate_Total_Female_50_to_54_years","Estimate_Total_Female_55_to_59_years","Estimate_Total_Female_60_to_64_years","Estimate_Total_Female_65_to_69_years","Estimate_Total_Female_70_to_74_years","Estimate_Total_Female_75_to_79_years","Estimate_Total_Female_80_to_84_years","Estimate_Total_Female_85_years_and_over","NA"
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","79","41","0","0","0","0","0","0","1","2","8","0","0","29","0","1","0","0","0","0","38","0","0","0","0","0","0","3","6","1","14","0","0","1","0","0","0","0","13",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","126","54","0","0","0","0","0","0","0","0","0","0","0","29","2","0","0","0","17","6","72","0","0","0","0","0","0","0","0","0","6","8","28","0","3","0","6","5","16",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","29","14","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","11","2","0","15","0","0","0","0","0","0","0","0","0","3","6","0","0","0","0","4","2","0",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","248","108","0","12","0","0","0","0","0","13","35","0","0","0","8","25","0","0","15","0","140","0","0","12","0","8","0","15","36","7","11","0","0","9","16","0","26","0","0",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","221","132","0","0","0","0","0","0","0","28","53","37","0","0","0","0","14","0","0","0","89","0","0","0","0","0","0","0","33","34","9","0","0","13","0","0","0","0","0",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","1680","509","15","0","17","34","28","24","62","104","111","59","0","31","0","24","0","0","0","0","1171","0","12","88","24","49","40","193","124","150","14","95","145","42","133","20","42","0","0",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","1188","514","23","28","24","0","0","32","26","67","62","90","50","20","41","0","38","0","12","1","674","28","21","0","10","78","43","62","56","53","88","100","38","66","31","0","0","0","0",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","708","353","0","0","0","48","0","34","9","8","38","20","97","45","16","12","20","6","0","0","355","0","0","0","35","12","10","0","0","38","133","30","16","13","22","8","38","0","0",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","200","94","0","0","0","0","0","10","0","25","16","18","0","3","2","0","11","9","0","0","106","0","0","0","14","0","13","0","11","0","16","0","4","0","0","29","7","0","12",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","751","421","0","15","30","0","86","25","30","46","45","68","46","19","8","0","0","3","0","0","330","0","0","0","0","24","0","44","74","0","48","56","17","16","51","0","0","0","0",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","179","45","0","0","0","0","0","0","0","0","0","7","29","9","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","7","36","7","23","22","16","0","23","0","0",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","617","278","0","12","0","0","53","45","32","14","14","66","0","17","12","0","0","0","13","0","339","0","0","0","23","179","0","49","0","0","15","30","13","0","0","30","0","0","0",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","76","32","0","0","0","0","0","0","9","8","12","0","0","0","0","3","0","0","0","0","44","0","0","0","0","0","0","0","0","31","0","7","6","0","0","0","0","0","0",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","813","309","0","9","9","36","0","75","95","29","25","0","17","0","7","7","0","0","0","0","504","0","14","0","11","20","124","52","91","64","29","63","26","0","0","0","4","0","6",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","131","49","0","0","0","0","1","0","4","9","8","9","0","0","4","0","0","14","0","0","82","0","0","0","0","4","2","9","0","15","0","0","3","0","0","38","0","11","0",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","168","88","0","0","19","0","0","0","0","0","15","10","0","13","3","13","0","5","10","0","80","0","0","0","0","18","0","14","1","0","0","17","13","0","5","0","0","5","7",NA
