"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native_population","Estimate_Total_Native_population_5_to_17_years","Estimate_Total_Native_population_5_to_17_years_Speak_only_English","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Native_population_18_years_and_over","Estimate_Total_Native_population_18_years_and_over_Speak_only_English","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_only_English","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_only_English","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_only_English","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_only_English","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","NA"
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","4877","4156","146","146","0","0","0","0","0","0","4010","3327","491","402","89","192","86","106","721","253","0","0","0","0","0","0","0","0","253","43","69","50","19","141","51","90","468","50","0","15","15","0","35","0","35","418","0","49","24","25","369","185","184",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","2332","2000","63","49","0","0","0","14","14","0","1937","1801","66","66","0","70","48","22","332","130","0","0","0","0","0","0","0","0","130","58","30","20","10","42","25","17","202","0","0","0","0","0","0","0","0","202","85","11","11","0","106","62","44",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","4463","3481","199","144","55","55","0","0","0","0","3282","2745","461","420","41","76","62","14","982","345","0","0","0","0","0","0","0","0","345","137","173","107","66","35","0","35","637","0","0","0","0","0","0","0","0","637","48","46","8","38","543","280","263",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","2564","1657","41","21","20","20","0","0","0","0","1616","1443","91","79","12","82","82","0","907","160","25","0","25","25","0","0","0","0","135","24","80","80","0","31","31","0","747","0","0","0","0","0","0","0","0","747","137","9","9","0","601","470","131",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","2483","1891","33","33","0","0","0","0","0","0","1858","1699","84","46","38","75","75","0","592","102","0","0","0","0","0","0","0","0","102","24","32","13","19","46","13","33","490","8","8","0","0","0","0","0","0","482","66","160","145","15","256","57","199",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","4013","3313","290","245","0","0","0","45","45","0","3023","2729","190","190","0","104","104","0","700","279","0","0","0","0","0","0","0","0","279","21","122","20","102","136","40","96","421","22","0","22","22","0","0","0","0","399","69","121","25","96","209","81","128",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","1592","1330","144","130","14","14","0","0","0","0","1186","1093","44","36","8","49","49","0","262","120","0","0","0","0","0","0","0","0","120","35","20","8","12","65","32","33","142","0","0","0","0","0","0","0","0","142","16","83","54","29","43","17","26",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","7350","6073","180","171","0","0","0","9","9","0","5893","5420","364","269","95","109","109","0","1277","484","0","0","0","0","0","0","0","0","484","19","226","226","0","239","209","30","793","74","0","0","0","0","74","55","19","719","75","212","70","142","432","295","137",NA
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","5030","4435","500","467","33","33","0","0","0","0","3935","3809","83","83","0","43","43","0","595","373","7","0","7","7","0","0","0","0","366","61","92","41","51","213","129","84","222","24","0","24","24","0","0","0","0","198","140","58","8","50","0","0","0",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","5424","5055","950","770","107","107","0","73","73","0","4105","3883","175","68","107","47","47","0","369","220","0","0","0","0","0","0","0","0","220","93","64","64","0","63","54","9","149","0","0","0","0","0","0","0","0","149","57","64","0","64","28","28","0",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","7108","6657","988","986","2","2","0","0","0","0","5669","5371","292","266","26","6","6","0","451","363","36","18","0","0","0","18","0","18","327","139","124","81","43","64","20","44","88","0","0","0","0","0","0","0","0","88","33","3","0","3","52","52","0",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","2529","2323","424","378","46","46","0","0","0","0","1899","1864","35","27","8","0","0","0","206","162","0","0","0","0","0","0","0","0","162","44","0","0","0","118","88","30","44","7","0","0","0","0","7","7","0","37","0","5","0","5","32","0","32",NA
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","5834","4986","703","664","20","0","20","19","19","0","4283","4021","188","156","32","74","74","0","848","532","0","0","0","0","0","0","0","0","532","211","188","153","35","133","40","93","316","49","0","0","0","0","49","0","49","267","32","156","0","156","79","33","46",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","1472","1376","262","250","12","12","0","0","0","0","1114","1078","25","25","0","11","11","0","96","59","17","17","0","0","0","0","0","0","42","5","12","5","7","25","18","7","37","7","0","0","0","0","7","0","7","30","0","23","0","23","7","0","7",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","8720","8110","1387","1304","52","52","0","31","16","15","6723","6550","85","85","0","88","74","14","610","270","0","0","0","0","0","0","0","0","270","100","170","86","84","0","0","0","340","31","0","13","13","0","18","18","0","309","157","92","65","27","60","10","50",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","6397","5353","620","561","12","0","12","47","0","47","4733","4371","309","245","64","53","53","0","1044","513","80","80","0","0","0","0","0","0","433","141","147","136","11","145","131","14","531","81","0","22","22","0","59","59","0","450","80","113","93","20","257","134","123",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","3503","2993","690","623","31","17","14","36","23","13","2303","2118","86","78","8","99","66","33","510","267","9","9","0","0","0","0","0","0","258","32","30","30","0","196","113","83","243","11","0","0","0","0","11","11","0","232","43","36","13","23","153","72","81",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","2430","2166","471","321","40","40","0","110","110","0","1695","1618","47","43","4","30","30","0","264","127","0","0","0","0","0","0","0","0","127","0","47","47","0","80","4","76","137","0","0","0","0","0","0","0","0","137","46","0","0","0","91","0","91",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","3199","3033","285","244","41","39","2","0","0","0","2748","2696","52","17","35","0","0","0","166","91","0","0","0","0","0","0","0","0","91","82","0","0","0","9","0","9","75","0","0","0","0","0","0","0","0","75","12","53","2","51","10","10","0",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","2597","2402","366","345","7","7","0","14","14","0","2036","2006","0","0","0","30","12","18","195","139","0","0","0","0","0","0","0","0","139","25","74","74","0","40","0","40","56","4","0","0","0","0","4","4","0","52","19","0","0","0","33","0","33",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","4653","4463","796","723","0","0","0","73","0","73","3667","3625","7","7","0","35","35","0","190","113","0","0","0","0","0","0","0","0","113","58","0","0","0","55","23","32","77","0","0","0","0","0","0","0","0","77","0","0","0","0","77","0","77",NA
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","5828","5743","843","839","4","4","0","0","0","0","4900","4774","56","38","18","70","25","45","85","25","0","0","0","0","0","0","0","0","25","25","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","60","26","0","0","0","34","34","0",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","1974","1855","238","238","0","0","0","0","0","0","1617","1602","3","0","3","12","12","0","119","89","0","0","0","0","0","0","0","0","89","84","0","0","0","5","5","0","30","0","0","0","0","0","0","0","0","30","16","0","0","0","14","14","0",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","776","753","91","91","0","0","0","0","0","0","662","646","12","9","3","4","2","2","23","23","3","0","3","3","0","0","0","0","20","0","11","11","0","9","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","5061","4861","1015","964","39","29","10","12","12","0","3846","3719","99","50","49","28","28","0","200","143","15","0","0","0","0","15","15","0","128","53","43","43","0","32","21","11","57","0","0","0","0","0","0","0","0","57","45","0","0","0","12","12","0",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","6143","5942","1275","1242","0","0","0","33","33","0","4667","4558","70","70","0","39","39","0","201","188","0","0","0","0","0","0","0","0","188","110","32","32","0","46","46","0","13","0","0","0","0","0","0","0","0","13","13","0","0","0","0","0","0",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","10905","8752","2048","1863","68","68","0","117","117","0","6704","6517","138","104","34","49","49","0","2153","1128","0","0","0","0","0","0","0","0","1128","511","97","97","0","520","293","227","1025","323","68","0","0","0","255","0","255","702","209","189","121","68","304","149","155",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","11101","9151","1845","1542","82","82","0","221","221","0","7306","6911","258","258","0","137","137","0","1950","825","28","28","0","0","0","0","0","0","797","240","161","150","11","396","340","56","1125","51","0","15","15","0","36","36","0","1074","48","98","0","98","928","712","216",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","3456","2783","570","518","24","24","0","28","28","0","2213","2052","102","79","23","59","48","11","673","476","40","12","0","0","0","28","28","0","436","159","26","26","0","251","116","135","197","55","0","0","0","0","55","24","31","142","3","9","0","9","130","70","60",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","2677","2265","445","313","15","15","0","117","117","0","1820","1547","203","184","19","70","42","28","412","365","6","0","6","6","0","0","0","0","359","103","108","104","4","148","71","77","47","0","0","0","0","0","0","0","0","47","13","0","0","0","34","0","34",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","8299","7060","1464","1270","6","0","6","188","188","0","5596","5451","108","108","0","37","37","0","1239","665","24","24","0","0","0","0","0","0","641","300","68","48","20","273","162","111","574","27","0","0","0","0","27","0","27","547","163","17","17","0","367","208","159",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","4266","3990","833","817","16","16","0","0","0","0","3157","3048","86","57","29","23","13","10","276","180","0","0","0","0","0","0","0","0","180","89","70","37","33","21","11","10","96","28","0","0","0","0","28","28","0","68","30","23","0","23","15","15","0",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","5138","4846","949","949","0","0","0","0","0","0","3897","3648","200","169","31","49","49","0","292","268","0","0","0","0","0","0","0","0","268","50","169","79","90","49","0","49","24","0","0","0","0","0","0","0","0","24","9","0","0","0","15","15","0",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","1563","1440","311","276","23","9","14","12","12","0","1129","1038","85","77","8","6","6","0","123","48","0","0","0","0","0","0","0","0","48","35","0","0","0","13","0","13","75","18","0","18","0","18","0","0","0","57","0","25","5","20","32","0","32",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","5798","5034","1055","914","38","22","16","103","103","0","3979","3480","351","310","41","148","135","13","764","297","0","0","0","0","0","0","0","0","297","130","85","70","15","82","55","27","467","37","0","0","0","0","37","26","11","430","141","68","23","45","221","71","150",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","2176","1971","203","203","0","0","0","0","0","0","1768","1731","31","31","0","6","0","6","205","133","8","8","0","0","0","0","0","0","125","11","41","0","41","73","40","33","72","0","0","0","0","0","0","0","0","72","27","26","26","0","19","19","0",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","1908","1729","173","173","0","0","0","0","0","0","1556","1503","43","43","0","10","10","0","179","117","0","0","0","0","0","0","0","0","117","81","0","0","0","36","26","10","62","0","0","0","0","0","0","0","0","62","15","47","37","10","0","0","0",NA
