"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native","Estimate_Total_Foreign-Born","NA","Year","Estimate_Total:","Estimate_Total:_Native","Estimate_Total:_Foreign-Born","Estimate_Total:_Foreign-born"
"23","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","2529","1680","849",NA,"2014",NA,NA,NA,NA
"24","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","2189","1738","451",NA,"2014",NA,NA,NA,NA
"25","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","3745","3157","588",NA,"2014",NA,NA,NA,NA
"26","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","1606","1544","62",NA,"2014",NA,NA,NA,NA
"27","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","7890","6929","961",NA,"2014",NA,NA,NA,NA
"28","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","6352","5558","794",NA,"2014",NA,NA,NA,NA
"29","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","5252","4657","595",NA,"2014",NA,NA,NA,NA
"30","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","6817","6572","245",NA,"2014",NA,NA,NA,NA
"31","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","2660","2561","99",NA,"2014",NA,NA,NA,NA
"32","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","6375","5897","478",NA,"2014",NA,NA,NA,NA
"33","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","1696","1590","106",NA,"2014",NA,NA,NA,NA
"34","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","8907","8481","426",NA,"2014",NA,NA,NA,NA
"35","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","7025","5392","1633",NA,"2014",NA,NA,NA,NA
"36","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","2998","2465","533",NA,"2014",NA,NA,NA,NA
"37","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","3187","2707","480",NA,"2014",NA,NA,NA,NA
"38","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","3189","3086","103",NA,"2014",NA,NA,NA,NA
"39","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","2860","2792","68",NA,"2014",NA,NA,NA,NA
"40","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","4031","3847","184",NA,"2014",NA,NA,NA,NA
"41","1400000US12001002000","Census Tract 20, Alachua County, Florida","5398","5319","79",NA,"2014",NA,NA,NA,NA
"42","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","1819","1693","126",NA,"2014",NA,NA,NA,NA
"43","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","822","793","29",NA,"2014",NA,NA,NA,NA
"44","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","4599","4351","248",NA,"2014",NA,NA,NA,NA
"45","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","6021","5800","221",NA,"2014",NA,NA,NA,NA
"46","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","11247","9567","1680",NA,"2014",NA,NA,NA,NA
"47","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","9859","8671","1188",NA,"2014",NA,NA,NA,NA
"48","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","3675","2967","708",NA,"2014",NA,NA,NA,NA
"49","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","2525","2325","200",NA,"2014",NA,NA,NA,NA
"50","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","7854","7103","751",NA,"2014",NA,NA,NA,NA
"51","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","4331","4152","179",NA,"2014",NA,NA,NA,NA
"52","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","5826","5209","617",NA,"2014",NA,NA,NA,NA
"53","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","2477","2401","76",NA,"2014",NA,NA,NA,NA
"54","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","5501","4688","813",NA,"2014",NA,NA,NA,NA
"55","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","1891","1760","131",NA,"2014",NA,NA,NA,NA
"56","1400000US12001110800","Census Tract 1108, Alachua County, Florida","2175","2007","168",NA,"2014",NA,NA,NA,NA
"57","1400000US12001000200","Census Tract 2, Alachua County, Florida",NA,NA,NA,NA,"2019","7557","6935","622",NA
"58","1400000US12001000301","Census Tract 3.01, Alachua County, Florida",NA,NA,NA,NA,"2019","4426","4113","313",NA
"59","1400000US12001000302","Census Tract 3.02, Alachua County, Florida",NA,NA,NA,NA,"2019","2319","2147","172",NA
"60","1400000US12001000400","Census Tract 4, Alachua County, Florida",NA,NA,NA,NA,"2019","6256","5715","541",NA
"61","1400000US12001000500","Census Tract 5, Alachua County, Florida",NA,NA,NA,NA,"2019","4973","4605","368",NA
"62","1400000US12001000600","Census Tract 6, Alachua County, Florida",NA,NA,NA,NA,"2019","4963","4903","60",NA
"63","1400000US12001000700","Census Tract 7, Alachua County, Florida",NA,NA,NA,NA,"2019","6505","6017","488",NA
"64","1400000US12001000806","Census Tract 8.06, Alachua County, Florida",NA,NA,NA,NA,"2019","2526","1745","781",NA
"65","1400000US12001000808","Census Tract 8.08, Alachua County, Florida",NA,NA,NA,NA,"2019","3430","2875","555",NA
"66","1400000US12001000809","Census Tract 8.09, Alachua County, Florida",NA,NA,NA,NA,"2019","1287","1072","215",NA
"67","1400000US12001000901","Census Tract 9.01, Alachua County, Florida",NA,NA,NA,NA,"2019","4403","3673","730",NA
"68","1400000US12001000902","Census Tract 9.02, Alachua County, Florida",NA,NA,NA,NA,"2019","6684","6143","541",NA
"69","1400000US12001001000","Census Tract 10, Alachua County, Florida",NA,NA,NA,NA,"2019","5703","5513","190",NA
"70","1400000US12001001100","Census Tract 11, Alachua County, Florida",NA,NA,NA,NA,"2019","6977","6254","723",NA
"71","1400000US12001001201","Census Tract 12.01, Alachua County, Florida",NA,NA,NA,NA,"2019","3471","3254","217",NA
"72","1400000US12001001202","Census Tract 12.02, Alachua County, Florida",NA,NA,NA,NA,"2019","7857","7376","481",NA
"73","1400000US12001001203","Census Tract 12.03, Alachua County, Florida",NA,NA,NA,NA,"2019","3506","3191","315",NA
"74","1400000US12001001400","Census Tract 14, Alachua County, Florida",NA,NA,NA,NA,"2019","4652","4557","95",NA
"75","1400000US12001001514","Census Tract 15.14, Alachua County, Florida",NA,NA,NA,NA,"2019","1689","1382","307",NA
"76","1400000US12001001515","Census Tract 15.15, Alachua County, Florida",NA,NA,NA,NA,"2019","4919","4198","721",NA
"77","1400000US12001001516","Census Tract 15.16, Alachua County, Florida",NA,NA,NA,NA,"2019","2422","2090","332",NA
"78","1400000US12001001517","Census Tract 15.17, Alachua County, Florida",NA,NA,NA,NA,"2019","4547","3565","982",NA
"79","1400000US12001001519","Census Tract 15.19, Alachua County, Florida",NA,NA,NA,NA,"2019","2622","1708","914",NA
"80","1400000US12001001520","Census Tract 15.20, Alachua County, Florida",NA,NA,NA,NA,"2019","2494","1902","592",NA
"81","1400000US12001001521","Census Tract 15.21, Alachua County, Florida",NA,NA,NA,NA,"2019","4221","3505","716",NA
"82","1400000US12001001603","Census Tract 16.03, Alachua County, Florida",NA,NA,NA,NA,"2019","1716","1454","262",NA
"83","1400000US12001001604","Census Tract 16.04, Alachua County, Florida",NA,NA,NA,NA,"2019","7469","6192","1277",NA
"84","1400000US12001001701","Census Tract 17.01, Alachua County, Florida",NA,NA,NA,NA,"2019","5161","4566","595",NA
"85","1400000US12001001702","Census Tract 17.02, Alachua County, Florida",NA,NA,NA,NA,"2019","5804","5435","369",NA
"86","1400000US12001001801","Census Tract 18.01, Alachua County, Florida",NA,NA,NA,NA,"2019","7612","7161","451",NA
"87","1400000US12001001802","Census Tract 18.02, Alachua County, Florida",NA,NA,NA,NA,"2019","2668","2462","206",NA
"88","1400000US12001001803","Census Tract 18.03, Alachua County, Florida",NA,NA,NA,NA,"2019","6254","5406","848",NA
"89","1400000US12001001805","Census Tract 18.05, Alachua County, Florida",NA,NA,NA,NA,"2019","1562","1466","96",NA
"90","1400000US12001001806","Census Tract 18.06, Alachua County, Florida",NA,NA,NA,NA,"2019","9267","8657","610",NA
"91","1400000US12001001811","Census Tract 18.11, Alachua County, Florida",NA,NA,NA,NA,"2019","6975","5931","1044",NA
"92","1400000US12001001813","Census Tract 18.13, Alachua County, Florida",NA,NA,NA,NA,"2019","3826","3316","510",NA
"93","1400000US12001001814","Census Tract 18.14, Alachua County, Florida",NA,NA,NA,NA,"2019","2650","2386","264",NA
"94","1400000US12001001902","Census Tract 19.02, Alachua County, Florida",NA,NA,NA,NA,"2019","3259","3093","166",NA
"95","1400000US12001001907","Census Tract 19.07, Alachua County, Florida",NA,NA,NA,NA,"2019","2779","2584","195",NA
"96","1400000US12001001908","Census Tract 19.08, Alachua County, Florida",NA,NA,NA,NA,"2019","4922","4732","190",NA
"97","1400000US12001002000","Census Tract 20, Alachua County, Florida",NA,NA,NA,NA,"2019","6210","6125","85",NA
"98","1400000US12001002101","Census Tract 21.01, Alachua County, Florida",NA,NA,NA,NA,"2019","2152","2033","119",NA
"99","1400000US12001002102","Census Tract 21.02, Alachua County, Florida",NA,NA,NA,NA,"2019","792","769","23",NA
"100","1400000US12001002201","Census Tract 22.01, Alachua County, Florida",NA,NA,NA,NA,"2019","5717","5517","200",NA
"101","1400000US12001002202","Census Tract 22.02, Alachua County, Florida",NA,NA,NA,NA,"2019","6508","6307","201",NA
"102","1400000US12001002204","Census Tract 22.04, Alachua County, Florida",NA,NA,NA,NA,"2019","11379","9226","2153",NA
"103","1400000US12001002205","Census Tract 22.05, Alachua County, Florida",NA,NA,NA,NA,"2019","12036","10086","1950",NA
"104","1400000US12001002207","Census Tract 22.07, Alachua County, Florida",NA,NA,NA,NA,"2019","3702","3029","673",NA
"105","1400000US12001002208","Census Tract 22.08, Alachua County, Florida",NA,NA,NA,NA,"2019","2804","2392","412",NA
"106","1400000US12001002209","Census Tract 22.09, Alachua County, Florida",NA,NA,NA,NA,"2019","9069","7812","1257",NA
"107","1400000US12001002210","Census Tract 22.10, Alachua County, Florida",NA,NA,NA,NA,"2019","4646","4370","276",NA
"108","1400000US12001002217","Census Tract 22.17, Alachua County, Florida",NA,NA,NA,NA,"2019","5660","5368","292",NA
"109","1400000US12001002218","Census Tract 22.18, Alachua County, Florida",NA,NA,NA,NA,"2019","1733","1610","123",NA
"110","1400000US12001002219","Census Tract 22.19, Alachua County, Florida",NA,NA,NA,NA,"2019","6438","5674","764",NA
"111","1400000US12001002220","Census Tract 22.20, Alachua County, Florida",NA,NA,NA,NA,"2019","2292","2087","205",NA
"112","1400000US12001110800","Census Tract 1108, Alachua County, Florida",NA,NA,NA,NA,"2019","1972","1793","179",NA
"113","1400000US12001000201","Census Tract 2.01; Alachua County; Florida",NA,NA,NA,NA,"2024","5284","4638",NA,"646"
"114","1400000US12001000202","Census Tract 2.02; Alachua County; Florida",NA,NA,NA,NA,"2024","5751","5539",NA,"212"
"115","1400000US12001000301","Census Tract 3.01; Alachua County; Florida",NA,NA,NA,NA,"2024","4210","3979",NA,"231"
"116","1400000US12001000302","Census Tract 3.02; Alachua County; Florida",NA,NA,NA,NA,"2024","2515","2359",NA,"156"
"117","1400000US12001000400","Census Tract 4; Alachua County; Florida",NA,NA,NA,NA,"2024","5563","5473",NA,"90"
"118","1400000US12001000500","Census Tract 5; Alachua County; Florida",NA,NA,NA,NA,"2024","4982","4577",NA,"405"
"119","1400000US12001000600","Census Tract 6; Alachua County; Florida",NA,NA,NA,NA,"2024","4391","4325",NA,"66"
"120","1400000US12001000700","Census Tract 7; Alachua County; Florida",NA,NA,NA,NA,"2024","6633","6304",NA,"329"
"121","1400000US12001000806","Census Tract 8.06; Alachua County; Florida",NA,NA,NA,NA,"2024","3372","2829",NA,"543"
"122","1400000US12001000808","Census Tract 8.08; Alachua County; Florida",NA,NA,NA,NA,"2024","4107","3682",NA,"425"
"123","1400000US12001000809","Census Tract 8.09; Alachua County; Florida",NA,NA,NA,NA,"2024","1393","1109",NA,"284"
"124","1400000US12001000901","Census Tract 9.01; Alachua County; Florida",NA,NA,NA,NA,"2024","3577","3020",NA,"557"
"125","1400000US12001000902","Census Tract 9.02; Alachua County; Florida",NA,NA,NA,NA,"2024","8723","7714",NA,"1009"
"126","1400000US12001001000","Census Tract 10; Alachua County; Florida",NA,NA,NA,NA,"2024","7591","6853",NA,"738"
"127","1400000US12001001100","Census Tract 11; Alachua County; Florida",NA,NA,NA,NA,"2024","6715","5781",NA,"934"
"128","1400000US12001001201","Census Tract 12.01; Alachua County; Florida",NA,NA,NA,NA,"2024","2785","2577",NA,"208"
"129","1400000US12001001202","Census Tract 12.02; Alachua County; Florida",NA,NA,NA,NA,"2024","7269","6302",NA,"967"
"130","1400000US12001001203","Census Tract 12.03; Alachua County; Florida",NA,NA,NA,NA,"2024","3786","3017",NA,"769"
"131","1400000US12001001400","Census Tract 14; Alachua County; Florida",NA,NA,NA,NA,"2024","3806","3680",NA,"126"
"132","1400000US12001001514","Census Tract 15.14; Alachua County; Florida",NA,NA,NA,NA,"2024","1925","1566",NA,"359"
"133","1400000US12001001515","Census Tract 15.15; Alachua County; Florida",NA,NA,NA,NA,"2024","6125","4881",NA,"1244"
"134","1400000US12001001516","Census Tract 15.16; Alachua County; Florida",NA,NA,NA,NA,"2024","2679","2497",NA,"182"
"135","1400000US12001001517","Census Tract 15.17; Alachua County; Florida",NA,NA,NA,NA,"2024","5766","4666",NA,"1100"
"136","1400000US12001001519","Census Tract 15.19; Alachua County; Florida",NA,NA,NA,NA,"2024","2538","1418",NA,"1120"
"137","1400000US12001001522","Census Tract 15.22; Alachua County; Florida",NA,NA,NA,NA,"2024","8320","6859",NA,"1461"
"138","1400000US12001001605","Census Tract 16.05; Alachua County; Florida",NA,NA,NA,NA,"2024","9066","7448",NA,"1618"
"139","1400000US12001001701","Census Tract 17.01; Alachua County; Florida",NA,NA,NA,NA,"2024","6726","5526",NA,"1200"
"140","1400000US12001001702","Census Tract 17.02; Alachua County; Florida",NA,NA,NA,NA,"2024","5336","4876",NA,"460"
"141","1400000US12001001802","Census Tract 18.02; Alachua County; Florida",NA,NA,NA,NA,"2024","3443","3366",NA,"77"
"142","1400000US12001001803","Census Tract 18.03; Alachua County; Florida",NA,NA,NA,NA,"2024","6284","5485",NA,"799"
"143","1400000US12001001811","Census Tract 18.11; Alachua County; Florida",NA,NA,NA,NA,"2024","6770","5752",NA,"1018"
"144","1400000US12001001813","Census Tract 18.13; Alachua County; Florida",NA,NA,NA,NA,"2024","4010","3439",NA,"571"
"145","1400000US12001001815","Census Tract 18.15; Alachua County; Florida",NA,NA,NA,NA,"2024","2055","1889",NA,"166"
"146","1400000US12001001816","Census Tract 18.16; Alachua County; Florida",NA,NA,NA,NA,"2024","5996","5756",NA,"240"
"147","1400000US12001001817","Census Tract 18.17; Alachua County; Florida",NA,NA,NA,NA,"2024","4738","4168",NA,"570"
"148","1400000US12001001818","Census Tract 18.18; Alachua County; Florida",NA,NA,NA,NA,"2024","5160","4763",NA,"397"
"149","1400000US12001001819","Census Tract 18.19; Alachua County; Florida",NA,NA,NA,NA,"2024","4760","4613",NA,"147"
"150","1400000US12001001902","Census Tract 19.02; Alachua County; Florida",NA,NA,NA,NA,"2024","4035","3807",NA,"228"
"151","1400000US12001001907","Census Tract 19.07; Alachua County; Florida",NA,NA,NA,NA,"2024","2478","2395",NA,"83"
"152","1400000US12001001908","Census Tract 19.08; Alachua County; Florida",NA,NA,NA,NA,"2024","5439","5288",NA,"151"
"153","1400000US12001002001","Census Tract 20.01; Alachua County; Florida",NA,NA,NA,NA,"2024","1386","1312",NA,"74"
"154","1400000US12001002002","Census Tract 20.02; Alachua County; Florida",NA,NA,NA,NA,"2024","3940","3806",NA,"134"
"155","1400000US12001002101","Census Tract 21.01; Alachua County; Florida",NA,NA,NA,NA,"2024","1974","1918",NA,"56"
"156","1400000US12001002102","Census Tract 21.02; Alachua County; Florida",NA,NA,NA,NA,"2024","1021","945",NA,"76"
"157","1400000US12001002201","Census Tract 22.01; Alachua County; Florida",NA,NA,NA,NA,"2024","6871","6155",NA,"716"
"158","1400000US12001002202","Census Tract 22.02; Alachua County; Florida",NA,NA,NA,NA,"2024","6494","6316",NA,"178"
"159","1400000US12001002204","Census Tract 22.04; Alachua County; Florida",NA,NA,NA,NA,"2024","12795","10591",NA,"2204"
"160","1400000US12001002207","Census Tract 22.07; Alachua County; Florida",NA,NA,NA,NA,"2024","3954","3197",NA,"757"
"161","1400000US12001002208","Census Tract 22.08; Alachua County; Florida",NA,NA,NA,NA,"2024","3119","2832",NA,"287"
"162","1400000US12001002209","Census Tract 22.09; Alachua County; Florida",NA,NA,NA,NA,"2024","8368","7519",NA,"849"
"163","1400000US12001002210","Census Tract 22.10; Alachua County; Florida",NA,NA,NA,NA,"2024","4861","4437",NA,"424"
"164","1400000US12001002217","Census Tract 22.17; Alachua County; Florida",NA,NA,NA,NA,"2024","6913","6628",NA,"285"
"165","1400000US12001002218","Census Tract 22.18; Alachua County; Florida",NA,NA,NA,NA,"2024","3343","2644",NA,"699"
"166","1400000US12001002219","Census Tract 22.19; Alachua County; Florida",NA,NA,NA,NA,"2024","6642","5544",NA,"1098"
"167","1400000US12001002220","Census Tract 22.20; Alachua County; Florida",NA,NA,NA,NA,"2024","2769","2179",NA,"590"
"168","1400000US12001002221","Census Tract 22.21; Alachua County; Florida",NA,NA,NA,NA,"2024","5643","4530",NA,"1113"
"169","1400000US12001002222","Census Tract 22.22; Alachua County; Florida",NA,NA,NA,NA,"2024","7178","5934",NA,"1244"
"170","1400000US12001110800","Census Tract 1108; Alachua County; Florida",NA,NA,NA,NA,"2024","2119","1797",NA,"322"
