Year,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_Male,Estimate_Total_Male_Under_5_years,Estimate_Total_Male_5_to_9_years,Estimate_Total_Male_10_to_14_years,Estimate_Total_Male_15_to_19_years,Estimate_Total_Male_20_to_24_years,Estimate_Total_Male_25_to_29_years,Estimate_Total_Male_30_to_34_years,Estimate_Total_Male_35_to_39_years,Estimate_Total_Male_40_to_44_years,Estimate_Total_Male_45_to_49_years,Estimate_Total_Male_50_to_54_years,Estimate_Total_Male_55_to_59_years,Estimate_Total_Male_60_to_64_years,Estimate_Total_Male_65_to_69_years,Estimate_Total_Male_70_to_74_years,Estimate_Total_Male_75_to_79_years,Estimate_Total_Male_80_to_84_years,Estimate_Total_Male_85_years_and_over,Estimate_Total_Female,Estimate_Total_Female_Under_5_years,Estimate_Total_Female_5_to_9_years,Estimate_Total_Female_10_to_14_years,Estimate_Total_Female_15_to_19_years,Estimate_Total_Female_20_to_24_years,Estimate_Total_Female_25_to_29_years,Estimate_Total_Female_30_to_34_years,Estimate_Total_Female_35_to_39_years,Estimate_Total_Female_40_to_44_years,Estimate_Total_Female_45_to_49_years,Estimate_Total_Female_50_to_54_years,Estimate_Total_Female_55_to_59_years,Estimate_Total_Female_60_to_64_years,Estimate_Total_Female_65_to_69_years,Estimate_Total_Female_70_to_74_years,Estimate_Total_Female_75_to_79_years,Estimate_Total_Female_80_to_84_years,Estimate_Total_Female_85_years_and_over
2024,1400000US12001001813,Census Tract 18.13; Alachua County; Florida,571,231,0,0,0,0,0,0,0,5,74,32,46,15,17,0,14,28,0,0,340,0,0,0,0,0,0,9,22,97,58,47,21,24,11,22,29,0,0
2024,1400000US12001001815,Census Tract 18.15; Alachua County; Florida,166,46,0,0,0,0,1,0,1,10,1,0,0,0,0,0,0,33,0,0,120,0,0,0,0,26,0,0,0,0,0,0,0,51,0,8,35,0,0
2024,1400000US12001001816,Census Tract 18.16; Alachua County; Florida,240,80,0,0,0,0,0,0,0,0,0,0,19,0,43,0,13,5,0,0,160,0,0,0,0,0,0,11,23,0,37,14,19,0,1,4,32,0,19
2024,1400000US12001001817,Census Tract 18.17; Alachua County; Florida,570,219,0,0,0,0,0,0,0,19,39,0,88,37,0,0,0,6,30,0,351,0,0,0,0,0,85,61,0,51,0,0,0,0,0,79,0,47,28
2024,1400000US12001001818,Census Tract 18.18; Alachua County; Florida,397,209,0,0,0,0,53,0,97,0,24,0,0,0,22,13,0,0,0,0,188,0,51,0,0,0,0,0,0,22,0,60,55,0,0,0,0,0,0
2024,1400000US12001001819,Census Tract 18.19; Alachua County; Florida,147,86,0,0,0,0,0,24,10,0,22,0,0,0,0,29,0,1,0,0,61,0,0,0,0,0,0,12,17,0,15,0,0,17,0,0,0,0,0
2024,1400000US12001001902,Census Tract 19.02; Alachua County; Florida,228,114,0,0,0,0,0,0,0,0,0,0,0,0,37,12,65,0,0,0,114,0,0,0,0,0,0,0,0,44,0,28,12,0,30,0,0,0,0
2024,1400000US12001001907,Census Tract 19.07; Alachua County; Florida,83,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,74,0,0,0,0,0,0,0,0,16,0,0,0,55,3,0,0,0,0
2024,1400000US12001001908,Census Tract 19.08; Alachua County; Florida,151,101,0,0,0,0,0,63,0,34,0,0,0,0,0,0,0,4,0,0,50,0,0,0,0,0,2,18,0,0,0,0,0,0,18,0,12,0,0
2024,1400000US12001002001,Census Tract 20.01; Alachua County; Florida,74,55,0,0,0,7,34,0,0,0,7,0,0,0,0,0,0,7,0,0,19,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0
