Year,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_Male,Estimate_Total_Male_Under_5_years,Estimate_Total_Male_5_to_9_years,Estimate_Total_Male_10_to_14_years,Estimate_Total_Male_15_to_19_years,Estimate_Total_Male_20_to_24_years,Estimate_Total_Male_25_to_29_years,Estimate_Total_Male_30_to_34_years,Estimate_Total_Male_35_to_39_years,Estimate_Total_Male_40_to_44_years,Estimate_Total_Male_45_to_49_years,Estimate_Total_Male_50_to_54_years,Estimate_Total_Male_55_to_59_years,Estimate_Total_Male_60_to_64_years,Estimate_Total_Male_65_to_69_years,Estimate_Total_Male_70_to_74_years,Estimate_Total_Male_75_to_79_years,Estimate_Total_Male_80_to_84_years,Estimate_Total_Male_85_years_and_over,Estimate_Total_Female,Estimate_Total_Female_Under_5_years,Estimate_Total_Female_5_to_9_years,Estimate_Total_Female_10_to_14_years,Estimate_Total_Female_15_to_19_years,Estimate_Total_Female_20_to_24_years,Estimate_Total_Female_25_to_29_years,Estimate_Total_Female_30_to_34_years,Estimate_Total_Female_35_to_39_years,Estimate_Total_Female_40_to_44_years,Estimate_Total_Female_45_to_49_years,Estimate_Total_Female_50_to_54_years,Estimate_Total_Female_55_to_59_years,Estimate_Total_Female_60_to_64_years,Estimate_Total_Female_65_to_69_years,Estimate_Total_Female_70_to_74_years,Estimate_Total_Female_75_to_79_years,Estimate_Total_Female_80_to_84_years,Estimate_Total_Female_85_years_and_over
2014,1400000US12001000200,"Census Tract 2, Alachua County, Florida",622,148,0,0,0,3,21,0,124,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,31,222,84,105,20,12,0,0,0,0,0,0,0,0,0
2014,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",35,16,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,19,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0
2014,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",177,120,0,0,0,0,34,80,0,0,0,0,0,6,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,18,33,0,0,6,0,0,0,0,0
2014,1400000US12001000400,"Census Tract 4, Alachua County, Florida",229,79,0,0,0,0,0,0,19,0,24,1,0,35,0,0,0,0,0,0,150,0,0,0,24,0,0,11,0,22,0,0,10,39,28,16,0,0,0
2014,1400000US12001000500,"Census Tract 5, Alachua County, Florida",378,201,0,0,0,20,0,113,0,0,0,39,0,15,0,14,0,0,0,0,177,0,0,0,0,0,104,22,0,37,0,0,0,0,0,0,14,0,0
2014,1400000US12001000600,"Census Tract 6, Alachua County, Florida",126,20,0,0,0,0,0,0,0,0,9,3,0,0,0,0,8,0,0,0,106,0,12,0,0,11,36,0,0,14,3,0,15,0,8,0,7,0,0
2014,1400000US12001000700,"Census Tract 7, Alachua County, Florida",190,100,0,0,0,0,24,0,0,12,0,0,0,16,14,0,0,34,0,0,90,0,0,0,0,19,15,0,0,21,0,0,19,16,0,0,0,0,0
2014,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",310,203,0,13,0,0,50,31,56,18,23,8,4,0,0,0,0,0,0,0,107,0,0,0,0,26,26,19,13,8,0,8,0,7,0,0,0,0,0
2014,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",911,553,0,6,0,23,151,192,119,17,20,0,25,0,0,0,0,0,0,0,358,0,0,0,6,56,133,56,16,20,0,0,51,20,0,0,0,0,0
2014,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",144,58,0,6,0,11,1,9,6,8,8,0,0,0,0,0,0,9,0,0,86,10,0,0,0,14,14,11,0,7,0,0,22,0,0,0,0,0,8
2014,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",711,380,13,24,0,54,102,107,55,11,3,0,0,5,6,0,0,0,0,0,331,7,11,0,69,63,86,29,32,22,0,0,5,7,0,0,0,0,0
2014,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",531,212,0,0,0,82,119,0,5,0,6,0,0,0,0,0,0,0,0,0,319,0,0,0,190,105,20,4,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001001000,"Census Tract 10, Alachua County, Florida",594,236,0,0,0,1,114,58,6,0,0,0,24,4,4,0,0,11,14,0,358,0,0,0,0,263,3,5,23,0,17,0,11,12,12,0,12,0,0
2014,1400000US12001001100,"Census Tract 11, Alachua County, Florida",650,350,0,0,30,18,0,44,34,20,11,51,18,72,13,12,0,27,0,0,300,0,0,14,0,25,0,30,20,30,13,18,87,11,0,13,0,26,13
2014,1400000US12001001201,"Census Tract 12.01, Alachua County, Florida",514,242,0,0,0,0,26,26,51,6,37,21,17,34,6,0,0,15,0,3,272,0,0,0,25,0,10,36,63,0,50,0,8,53,0,14,6,7,0
2014,1400000US12001001202,"Census Tract 12.02, Alachua County, Florida",859,319,0,0,0,23,125,0,43,25,64,0,0,0,14,0,0,0,0,25,540,0,20,0,8,0,104,28,22,40,20,96,10,41,45,55,18,33,0
2014,1400000US12001001203,"Census Tract 12.03, Alachua County, Florida",453,202,13,0,33,9,16,13,0,75,0,35,8,0,0,0,0,0,0,0,251,0,0,0,17,44,65,26,31,16,30,22,0,0,0,0,0,0,0
2014,1400000US12001001400,"Census Tract 14, Alachua County, Florida",83,66,0,0,0,0,1,0,8,9,10,6,5,0,0,13,14,0,0,0,17,0,0,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0
2014,1400000US12001001514,"Census Tract 15.14, Alachua County, Florida",282,138,0,0,0,0,30,41,31,31,0,0,0,0,5,0,0,0,0,0,144,0,0,0,0,56,39,5,0,0,0,0,17,27,0,0,0,0,0
2014,1400000US12001001515,"Census Tract 15.15, Alachua County, Florida",975,355,0,0,0,12,78,180,59,12,0,14,0,0,0,0,0,0,0,0,620,17,11,0,87,189,149,71,0,29,0,19,0,0,19,29,0,0,0
2014,1400000US12001001516,"Census Tract 15.16, Alachua County, Florida",388,222,0,0,0,0,82,34,33,33,16,0,11,13,0,0,0,0,0,0,166,0,0,0,9,24,66,35,7,0,0,9,0,0,0,0,16,0,0
2014,1400000US12001001517,"Census Tract 15.17, Alachua County, Florida",884,543,0,7,0,51,329,45,47,49,0,13,0,0,0,0,2,0,0,0,341,0,0,0,15,214,13,64,6,0,20,0,0,9,0,0,0,0,0
2014,1400000US12001001519,"Census Tract 15.19, Alachua County, Florida",849,536,0,0,0,4,379,124,10,6,0,0,10,3,0,0,0,0,0,0,313,0,0,0,18,188,59,0,5,0,24,0,4,15,0,0,0,0,0
2014,1400000US12001001520,"Census Tract 15.20, Alachua County, Florida",451,273,0,0,0,29,58,0,82,47,11,0,11,11,24,0,0,0,0,0,178,0,0,0,0,47,26,85,0,6,0,7,7,0,0,0,0,0,0
2014,1400000US12001001521,"Census Tract 15.21, Alachua County, Florida",588,262,0,0,0,15,100,66,18,55,8,0,0,0,0,0,0,0,0,0,326,0,0,0,16,157,47,20,0,39,0,33,0,0,14,0,0,0,0
2014,1400000US12001001603,"Census Tract 16.03, Alachua County, Florida",62,39,0,0,0,0,9,0,0,0,0,12,7,0,11,0,0,0,0,0,23,0,0,0,0,0,0,0,4,11,0,8,0,0,0,0,0,0,0
2014,1400000US12001001604,"Census Tract 16.04, Alachua County, Florida",961,476,0,0,0,24,276,87,11,19,37,0,0,22,0,0,0,0,0,0,485,0,0,0,42,168,37,57,0,0,0,18,114,0,23,0,12,0,14
2014,1400000US12001001701,"Census Tract 17.01, Alachua County, Florida",794,495,0,0,0,10,125,55,0,66,30,79,24,82,13,2,9,0,0,0,299,0,0,0,5,23,0,0,21,18,61,33,37,12,0,72,2,0,15
2014,1400000US12001001702,"Census Tract 17.02, Alachua County, Florida",595,257,0,0,0,0,0,0,37,18,30,15,0,41,29,16,12,59,0,0,338,0,10,0,0,53,50,43,0,19,9,38,0,11,20,26,30,0,29
2014,1400000US12001001801,"Census Tract 18.01, Alachua County, Florida",245,101,0,0,0,0,4,0,0,0,0,31,0,26,0,29,11,0,0,0,144,0,0,0,0,0,0,13,14,16,23,0,21,10,0,26,21,0,0
2014,1400000US12001001802,"Census Tract 18.02, Alachua County, Florida",99,20,0,0,0,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,79,0,0,0,0,0,0,0,35,0,0,13,16,0,0,0,15,0,0
2014,1400000US12001001803,"Census Tract 18.03, Alachua County, Florida",478,224,0,0,0,0,0,21,0,0,9,0,60,87,0,0,22,25,0,0,254,0,0,0,0,20,19,16,10,36,9,77,18,25,0,0,9,15,0
2014,1400000US12001001805,"Census Tract 18.05, Alachua County, Florida",106,58,0,0,0,0,0,0,20,0,0,0,0,9,6,7,0,0,7,9,48,0,0,0,0,0,0,0,0,10,0,0,31,7,0,0,0,0,0
2014,1400000US12001001806,"Census Tract 18.06, Alachua County, Florida",426,244,0,0,0,0,0,56,7,0,0,37,0,21,25,0,0,15,38,45,182,0,0,0,0,28,0,0,9,11,42,15,14,12,39,0,12,0,0
2014,1400000US12001001811,"Census Tract 18.11, Alachua County, Florida",1633,846,16,58,21,53,0,63,24,149,94,65,0,108,19,60,0,26,90,0,787,40,0,80,0,44,5,64,66,172,68,54,68,28,40,21,11,11,15
2014,1400000US12001001813,"Census Tract 18.13, Alachua County, Florida",533,200,0,14,0,0,0,13,0,30,16,55,30,30,0,12,0,0,0,0,333,0,0,26,0,0,55,19,51,48,44,21,54,4,0,0,11,0,0
2014,1400000US12001001814,"Census Tract 18.14, Alachua County, Florida",480,251,0,0,0,0,0,0,126,0,0,75,11,23,16,0,0,0,0,0,229,0,0,0,0,0,21,0,10,0,55,25,0,94,0,24,0,0,0
2014,1400000US12001001902,"Census Tract 19.02, Alachua County, Florida",103,83,0,8,14,0,11,0,9,0,21,0,0,12,0,8,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001001907,"Census Tract 19.07, Alachua County, Florida",68,11,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,0,0,0,57,0,0,0,0,0,0,12,7,0,0,0,10,0,20,8,0,0,0
2014,1400000US12001001908,"Census Tract 19.08, Alachua County, Florida",184,85,0,0,18,18,2,21,0,6,0,2,0,0,0,0,18,0,0,0,99,0,0,18,23,0,0,0,0,27,2,0,20,0,0,0,0,0,9
2014,1400000US12001002000,"Census Tract 20, Alachua County, Florida",79,41,0,0,0,0,0,0,1,2,8,0,0,29,0,1,0,0,0,0,38,0,0,0,0,0,0,3,6,1,14,0,0,1,0,0,0,0,13
2014,1400000US12001002101,"Census Tract 21.01, Alachua County, Florida",126,54,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,0,17,6,72,0,0,0,0,0,0,0,0,0,6,8,28,0,3,0,6,5,16
2014,1400000US12001002102,"Census Tract 21.02, Alachua County, Florida",29,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,15,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,4,2,0
2014,1400000US12001002201,"Census Tract 22.01, Alachua County, Florida",248,108,0,12,0,0,0,0,0,13,35,0,0,0,8,25,0,0,15,0,140,0,0,12,0,8,0,15,36,7,11,0,0,9,16,0,26,0,0
2014,1400000US12001002202,"Census Tract 22.02, Alachua County, Florida",221,132,0,0,0,0,0,0,0,28,53,37,0,0,0,0,14,0,0,0,89,0,0,0,0,0,0,0,33,34,9,0,0,13,0,0,0,0,0
2014,1400000US12001002204,"Census Tract 22.04, Alachua County, Florida",1680,509,15,0,17,34,28,24,62,104,111,59,0,31,0,24,0,0,0,0,1171,0,12,88,24,49,40,193,124,150,14,95,145,42,133,20,42,0,0
2014,1400000US12001002205,"Census Tract 22.05, Alachua County, Florida",1188,514,23,28,24,0,0,32,26,67,62,90,50,20,41,0,38,0,12,1,674,28,21,0,10,78,43,62,56,53,88,100,38,66,31,0,0,0,0
2014,1400000US12001002207,"Census Tract 22.07, Alachua County, Florida",708,353,0,0,0,48,0,34,9,8,38,20,97,45,16,12,20,6,0,0,355,0,0,0,35,12,10,0,0,38,133,30,16,13,22,8,38,0,0
2014,1400000US12001002208,"Census Tract 22.08, Alachua County, Florida",200,94,0,0,0,0,0,10,0,25,16,18,0,3,2,0,11,9,0,0,106,0,0,0,14,0,13,0,11,0,16,0,4,0,0,29,7,0,12
2014,1400000US12001002209,"Census Tract 22.09, Alachua County, Florida",751,421,0,15,30,0,86,25,30,46,45,68,46,19,8,0,0,3,0,0,330,0,0,0,0,24,0,44,74,0,48,56,17,16,51,0,0,0,0
2014,1400000US12001002210,"Census Tract 22.10, Alachua County, Florida",179,45,0,0,0,0,0,0,0,0,0,7,29,9,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,7,36,7,23,22,16,0,23,0,0
2014,1400000US12001002217,"Census Tract 22.17, Alachua County, Florida",617,278,0,12,0,0,53,45,32,14,14,66,0,17,12,0,0,0,13,0,339,0,0,0,23,179,0,49,0,0,15,30,13,0,0,30,0,0,0
2014,1400000US12001002218,"Census Tract 22.18, Alachua County, Florida",76,32,0,0,0,0,0,0,9,8,12,0,0,0,0,3,0,0,0,0,44,0,0,0,0,0,0,0,0,31,0,7,6,0,0,0,0,0,0
2014,1400000US12001002219,"Census Tract 22.19, Alachua County, Florida",813,309,0,9,9,36,0,75,95,29,25,0,17,0,7,7,0,0,0,0,504,0,14,0,11,20,124,52,91,64,29,63,26,0,0,0,4,0,6
2014,1400000US12001002220,"Census Tract 22.20, Alachua County, Florida",131,49,0,0,0,0,1,0,4,9,8,9,0,0,4,0,0,14,0,0,82,0,0,0,0,4,2,9,0,15,0,0,3,0,0,38,0,11,0
2014,1400000US12001110800,"Census Tract 1108, Alachua County, Florida",168,88,0,0,19,0,0,0,0,0,15,10,0,13,3,13,0,5,10,0,80,0,0,0,0,18,0,14,1,0,0,17,13,0,5,0,0,5,7
2019,1400000US12001000200,"Census Tract 2, Alachua County, Florida",622,484,0,0,0,9,219,256,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,65,73,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",313,135,0,0,0,0,28,60,28,14,0,0,0,5,0,0,0,0,0,0,178,0,0,0,0,99,28,40,0,0,0,0,0,0,0,0,11,0,0
2019,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",172,72,0,0,0,0,24,14,21,13,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,10,9,0,9,0,0,0,15,0,57,0,0,0
2019,1400000US12001000400,"Census Tract 4, Alachua County, Florida",541,220,0,45,0,0,0,38,35,0,0,0,43,0,47,0,0,12,0,0,321,0,0,0,0,0,76,0,0,54,35,1,84,27,0,0,44,0,0
2019,1400000US12001000500,"Census Tract 5, Alachua County, Florida",368,106,0,0,0,0,22,17,14,30,7,0,0,16,0,0,0,0,0,0,262,0,0,0,0,102,42,57,15,0,0,16,0,0,0,30,0,0,0
2019,1400000US12001000600,"Census Tract 6, Alachua County, Florida",60,32,0,0,0,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001000700,"Census Tract 7, Alachua County, Florida",488,253,0,0,0,0,0,89,0,51,0,0,43,70,0,0,0,0,0,0,235,0,0,0,57,0,109,0,24,0,0,0,45,0,0,0,0,0,0
2019,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",781,500,25,0,13,0,174,97,108,11,23,33,0,0,0,13,0,0,3,0,281,0,14,0,0,7,65,37,67,29,38,0,0,0,16,0,4,0,4
2019,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",555,321,0,13,0,69,80,44,18,21,9,48,0,7,12,0,0,0,0,0,234,0,0,14,23,43,60,0,26,17,36,0,0,7,8,0,0,0,0
2019,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",215,102,0,0,0,9,24,11,24,0,0,13,7,0,6,0,3,0,5,0,113,0,8,0,7,3,20,17,12,14,8,8,6,4,6,0,0,0,0
2019,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",730,386,0,0,16,98,43,86,71,52,5,13,0,2,0,0,0,0,0,0,344,7,25,0,89,42,109,47,5,18,2,0,0,0,0,0,0,0,0
2019,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",541,217,0,0,0,162,34,12,9,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,250,63,11,0,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001001000,"Census Tract 10, Alachua County, Florida",190,75,0,0,0,16,48,0,11,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,33,0,11,0,13,0,20,0,0,3,0,0,35,0,0
2019,1400000US12001001100,"Census Tract 11, Alachua County, Florida",723,388,0,30,0,0,0,0,0,109,106,21,0,0,62,10,0,0,33,17,335,0,0,0,0,18,0,126,0,12,20,0,16,16,72,28,0,27,0
2019,1400000US12001001201,"Census Tract 12.01, Alachua County, Florida",217,124,0,0,0,16,0,0,10,71,0,11,10,0,0,6,0,0,0,0,93,0,0,9,0,0,0,9,9,12,0,9,17,8,0,0,0,0,20
2019,1400000US12001001202,"Census Tract 12.02, Alachua County, Florida",481,283,0,0,0,0,0,26,0,102,59,0,44,0,14,2,5,0,31,0,198,0,0,0,0,0,0,23,17,0,36,13,35,34,17,23,0,0,0
2019,1400000US12001001203,"Census Tract 12.03, Alachua County, Florida",315,121,0,0,0,0,0,7,0,39,17,0,12,18,12,16,0,0,0,0,194,0,0,0,0,0,36,23,0,9,23,46,21,23,0,0,13,0,0
2019,1400000US12001001400,"Census Tract 14, Alachua County, Florida",95,68,0,0,0,0,0,7,8,11,9,0,0,21,12,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,12,0
2019,1400000US12001001514,"Census Tract 15.14, Alachua County, Florida",307,130,0,0,0,0,74,5,8,5,8,6,0,11,13,0,0,0,0,0,177,0,0,0,0,30,58,60,3,0,5,0,21,0,0,0,0,0,0
2019,1400000US12001001515,"Census Tract 15.15, Alachua County, Florida",721,267,0,0,18,22,53,5,78,0,0,0,19,45,27,0,0,0,0,0,454,0,0,0,65,80,59,41,13,0,37,136,0,23,0,0,0,0,0
2019,1400000US12001001516,"Census Tract 15.16, Alachua County, Florida",332,88,0,0,0,0,14,21,14,0,9,9,0,21,0,0,0,0,0,0,244,0,0,0,0,106,47,91,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001001517,"Census Tract 15.17, Alachua County, Florida",982,721,0,0,0,0,401,196,43,33,14,0,0,0,0,0,0,27,7,0,261,0,0,0,29,154,24,28,0,0,0,8,16,0,0,0,0,0,2
