"","Geography","Geographic_Area_Name","Estimate_Total_All_households","Estimate_Total_All_households_Households_speaking_--_Spanish","Estimate_Total_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Total_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Total_All_households_Households_speaking_--_Other_languages","Estimate_Percent_All_households","Estimate_Percent_All_households_Households_speaking_--_Spanish","Estimate_Percent_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Percent_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Percent_All_households_Households_speaking_--_Other_languages","Estimate_Limited_English-speaking_households_All_households","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Spanish","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Other_languages","Estimate_Percent_limited_English-speaking_households_All_households","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Spanish","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Other_languages","NA"
"42","1400000US12001002001","Census Tract 20.01; Alachua County; Florida","653","18","0","7","17","(X)","2.8","0.0","1.1","2.6","11","11","0","0","0","1.7","61.1","-","0.0","0.0",NA
"43","1400000US12001002002","Census Tract 20.02; Alachua County; Florida","1613","51","17","0","4","(X)","3.2","1.1","0.0","0.2","16","13","3","0","0","1.0","25.5","17.6","-","0.0",NA
"44","1400000US12001002101","Census Tract 21.01; Alachua County; Florida","885","78","20","2","2","(X)","8.8","2.3","0.2","0.2","7","0","5","2","0","0.8","0.0","25.0","100.0","0.0",NA
"45","1400000US12001002102","Census Tract 21.02; Alachua County; Florida","531","20","12","14","0","(X)","3.8","2.3","2.6","0.0","3","3","0","0","0","0.6","15.0","0.0","0.0","-",NA
"46","1400000US12001002201","Census Tract 22.01; Alachua County; Florida","2364","164","106","115","0","(X)","6.9","4.5","4.9","0.0","67","39","28","0","0","2.8","23.8","26.4","0.0","-",NA
"47","1400000US12001002202","Census Tract 22.02; Alachua County; Florida","2553","197","21","18","0","(X)","7.7","0.8","0.7","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","-",NA
"48","1400000US12001002204","Census Tract 22.04; Alachua County; Florida","5356","345","562","577","69","(X)","6.4","10.5","10.8","1.3","76","16","0","60","0","1.4","4.6","0.0","10.4","0.0",NA
"49","1400000US12001002207","Census Tract 22.07; Alachua County; Florida","1455","129","175","138","0","(X)","8.9","12.0","9.5","0.0","12","0","12","0","0","0.8","0.0","6.9","0.0","-",NA
"50","1400000US12001002208","Census Tract 22.08; Alachua County; Florida","1103","40","64","52","0","(X)","3.6","5.8","4.7","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","-",NA
"51","1400000US12001002209","Census Tract 22.09; Alachua County; Florida","3446","212","265","123","0","(X)","6.2","7.7","3.6","0.0","5","5","0","0","0","0.1","2.4","0.0","0.0","-",NA
"52","1400000US12001002210","Census Tract 22.10; Alachua County; Florida","2024","383","15","58","16","(X)","18.9","0.7","2.9","0.8","15","0","15","0","0","0.7","0.0","100.0","0.0","0.0",NA
"53","1400000US12001002217","Census Tract 22.17; Alachua County; Florida","2967","574","66","29","0","(X)","19.3","2.2","1.0","0.0","97","53","15","29","0","3.3","9.2","22.7","100.0","-",NA
"54","1400000US12001002218","Census Tract 22.18; Alachua County; Florida","1495","263","44","78","21","(X)","17.6","2.9","5.2","1.4","32","24","0","8","0","2.1","9.1","0.0","10.3","0.0",NA
"55","1400000US12001002219","Census Tract 22.19; Alachua County; Florida","2774","387","86","183","99","(X)","14.0","3.1","6.6","3.6","89","43","31","15","0","3.2","11.1","36.0","8.2","0.0",NA
"56","1400000US12001002220","Census Tract 22.20; Alachua County; Florida","1044","161","74","17","0","(X)","15.4","7.1","1.6","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","-",NA
"57","1400000US12001002221","Census Tract 22.21; Alachua County; Florida","2304","206","57","252","11","(X)","8.9","2.5","10.9","0.5","30","11","0","19","0","1.3","5.3","0.0","7.5","0.0",NA
"58","1400000US12001002222","Census Tract 22.22; Alachua County; Florida","2980","282","192","292","38","(X)","9.5","6.4","9.8","1.3","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0",NA
"59","1400000US12001110800","Census Tract 1108; Alachua County; Florida","898","105","41","24","10","(X)","11.7","4.6","2.7","1.1","19","0","19","0","0","2.1","0.0","46.3","0.0","0.0",NA
