"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_5_to_17_years","Estimate_Total_5_to_17_years_Speak_only_English","Estimate_Total_5_to_17_years_Speak_Spanish","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_5_to_17_years_Speak_other_languages","Estimate_Total_18_years_and_over","Estimate_Total_18_years_and_over_Speak_Spanish","Estimate_Total_18_years_and_over_Speak_other_Indo-European_languages","Estimate_Total_18_years_and_over_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_18_years_and_over_Speak_other_languages","NA"
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","266","35","0","0","35","0","0","231","25","37","169","0",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","33","0","0","0","0","0","0","33","0","0","33","0",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","205","11","11","0","0","0","0","194","52","14","128","0",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","39","0","0","0","0","0","0","39","0","6","33","0",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","122","0","0","0","0","0","0","122","72","0","50","0",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","358","86","19","22","0","45","0","272","146","80","46","0",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","33","9","9","0","0","0","0","24","20","4","0","0",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","279","0","0","0","0","0","0","279","142","36","101","0",NA
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","161","24","0","24","0","0","0","137","53","0","84","0",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","107","0","0","0","0","0","0","107","107","0","0","0",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","57","0","0","0","0","0","0","57","13","0","44","0",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","57","7","0","0","7","0","0","50","8","12","30","0",NA
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","152","49","0","0","0","49","0","103","32","16","55","0",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","50","20","13","0","0","7","0","30","23","0","7","0",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","29","0","0","0","0","0","0","29","29","0","0","0",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","20","0","0","0","0","0","0","20","20","0","0","0",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","65","13","0","0","0","13","0","52","0","9","43","0",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","265","110","0","0","110","0","0","155","0","155","0","0",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","34","0","0","0","0","0","0","34","25","9","0","0",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","91","0","0","0","0","0","0","91","0","33","0","58",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","3","0","0","0","0","0","0","3","3","0","0","0",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","229","75","0","0","0","75","0","154","0","27","127","0",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","125","38","0","38","0","0","0","87","49","0","38","0",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","185","59","0","0","0","59","0","126","0","0","126","0",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","78","0","0","0","0","0","0","78","19","7","52","0",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","230","44","0","0","0","44","0","186","16","0","170","0",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","75","9","0","9","0","0","0","66","56","10","0","0",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","49","0","0","0","0","0","0","49","0","0","49","0",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","42","23","0","23","0","0","0","19","15","4","0","0",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","120","11","0","0","0","11","0","109","0","46","63","0",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","32","0","0","0","0","0","0","32","26","6","0","0",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","4","0","0","0","0","0","0","4","4","0","0","0",NA
