"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_5_to_17_years","Estimate_Total_5_to_17_years_Speak_only_English","Estimate_Total_5_to_17_years_Speak_Spanish","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_5_to_17_years_Speak_other_languages","Estimate_Total_18_years_and_over","Estimate_Total_18_years_and_over_Speak_Spanish","Estimate_Total_18_years_and_over_Speak_other_Indo-European_languages","Estimate_Total_18_years_and_over_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_18_years_and_over_Speak_other_languages","NA"
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","22","0","0","0","0","0","0","22","0","22","0","0",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","253","36","21","15","0","0","0","217","18","80","107","12",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","2","0","0","0","0","0","0","2","2","0","0","0",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","38","0","0","0","0","0","0","38","15","0","23","0",NA
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","64","24","0","0","0","24","0","40","16","0","24","0",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","3","0","0","0","0","0","0","3","3","0","0","0",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","111","13","0","13","0","0","0","98","60","38","0","0",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","526","159","0","0","0","159","0","367","28","58","281","0",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","32","14","0","0","0","14","0","18","0","0","18","0",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","40","0","0","0","0","0","0","40","0","40","0","0",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","41","2","0","2","0","0","0","39","29","0","10","0",NA
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","64","0","0","0","0","0","0","64","0","64","0","0",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","47","0","0","0","0","0","0","47","47","0","0","0",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","319","57","0","0","0","57","0","262","26","15","221","0",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","144","41","0","0","41","0","0","103","0","90","13","0",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","11","0","0","0","0","0","0","11","11","0","0","0",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","21","0","0","0","0","0","0","21","21","0","0","0",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","28","0","0","0","0","0","0","28","0","0","0","28",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","13","0","0","0","0","0","0","13","13","0","0","0",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","115","12","0","0","0","12","0","103","13","0","90","0",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","9","0","0","0","0","0","0","9","6","0","3","0",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","252","59","0","41","0","18","0","193","96","0","53","44",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","53","0","0","0","0","0","0","53","23","30","0","0",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","24","0","0","0","0","0","0","24","24","0","0","0",NA
