"Column Name","Label"
"B16005_028E","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "well""
"B16005_028M","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "well""
"B16005_029E","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "not well""
"B16005_029M","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "not well""
"B16005_030E","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "not at all""
"B16005_030M","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "not at all""
"B16005_031E","Estimate!!Total!!Foreign born!!Speak other Indo-European languages"
"B16005_031M","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages"
"B16005_032E","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "very well""
"B16005_032M","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "very well""
"B16005_033E","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "well""
"B16005_033M","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "well""
"B16005_034E","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not well""
"B16005_034M","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not well""
"B16005_035E","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not at all""
"B16005_035M","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not at all""
"B16005_036E","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages"
"B16005_036M","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages"
"B16005_037E","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "very well""
"B16005_037M","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "very well""
"B16005_038E","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "well""
"B16005_038M","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "well""
"B16005_039E","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not well""
"B16005_039M","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not well""
"B16005_040E","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not at all""
"B16005_040M","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not at all""
"B16005_041E","Estimate!!Total!!Foreign born!!Speak other languages"
"B16005_041M","Margin of Error!!Total!!Foreign born!!Speak other languages"
"B16005_042E","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "very well""
"B16005_042M","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "very well""
"B16005_043E","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "well""
"B16005_043M","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "well""
"B16005_044E","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "not well""
"B16005_044M","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "not well""
"B16005_045E","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "not at all""
"B16005_045M","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "not at all""
