"Column Name","Label"
"B16008_024M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English "very well""
"B16008_025E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English less than "very well""
"B16008_025M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English less than "very well""
"B16008_026E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak other languages"
"B16008_026M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak other languages"
"B16008_027E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English "very well""
"B16008_027M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English "very well""
"B16008_028E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English less than "very well""
"B16008_028M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English less than "very well""
"B16008_029E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over"
"B16008_029M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over"
"B16008_030E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak only English"
"B16008_030M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak only English"
"B16008_031E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak Spanish"
"B16008_031M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak Spanish"
"B16008_032E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak Spanish!!Speak English "very well""
"B16008_032M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak Spanish!!Speak English "very well""
"B16008_033E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak Spanish!!Speak English less than "very well""
"B16008_033M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak Spanish!!Speak English less than "very well""
"B16008_034E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak other languages"
"B16008_034M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak other languages"
"B16008_035E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak other languages!!Speak English "very well""
"B16008_035M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak other languages!!Speak English "very well""
"B16008_036E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak other languages!!Speak English less than "very well""
"B16008_036M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak other languages!!Speak English less than "very well""
"B16008_037E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen"
"B16008_037M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen"
"B16008_038E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years"
"B16008_038M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years"
"B16008_039E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak only English"
"B16008_039M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak only English"
"B16008_040E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak Spanish"
"B16008_040M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak Spanish"
"B16008_041E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English "very well""
"B16008_041M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English "very well""
"B16008_042E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English less than "very well""
"B16008_042M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English less than "very well""
"B16008_043E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak other languages"
"B16008_043M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak other languages"
"B16008_044E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English "very well""
"B16008_044M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English "very well""
"B16008_045E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English less than "very well""
"B16008_045M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English less than "very well""
"B16008_046E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over"
"B16008_046M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over"
"B16008_047E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak only English"
"B16008_047M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak only English"
"B16008_048E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak Spanish"
"B16008_048M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak Spanish"
"B16008_049E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak Spanish!!Speak English "very well""
"B16008_049M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak Spanish!!Speak English "very well""
"B16008_050E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak Spanish!!Speak English less than "very well""
"B16008_050M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak Spanish!!Speak English less than "very well""
"B16008_051E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak other languages"
"B16008_051M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak other languages"
"B16008_052E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak other languages!!Speak English "very well""
"B16008_052M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak other languages!!Speak English "very well""
"B16008_053E","Estimate!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak other languages!!Speak English less than "very well""
"B16008_053M","Margin of Error!!Total!!Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak other languages!!Speak English less than "very well""
