Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
21%,53-3053.00,Shuttle Drivers and Chauffeurs,Much faster than average,36300
20%,51-8021.00,Stationary Engineers and Boiler Operators,Slower than average,3800
20%,29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other",Slower than average,2400
20%,29-1299.01,Naturopathic Physicians,Slower than average,2400
20%,29-1299.02,Orthoptists,Slower than average,2400
19%,31-9011.00,Massage Therapists,Much faster than average,24700
19%,49-9062.00,Medical Equipment Repairers,Much faster than average,7300
19%,21-1029.00,"Social Workers, All Other",Average,7000
17%,37-2012.00,Maids and Housekeeping Cleaners,Little or no change,193500
16%,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Little or no change,144500
16%,51-6011.00,Laundry and Dry-Cleaning Workers,Faster than average,31900
16%,13-1131.00,Fundraisers,Average,10200
16%,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Decline,9000
15%,51-9082.00,Medical Appliance Technicians,Average,1500
14%,31-9095.00,Pharmacy Aides,Little or no change,6100
14%,11-2033.00,Fundraising Managers,Average,3600
14%,19-1041.00,Epidemiologists,Much faster than average,800
13%,,"Teaching Assistants, Except Postsecondary",Decline,170400
13%,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Decline,170400
13%,25-9043.00,"Teaching Assistants, Special Education",Decline,170400
13%,25-9049.00,"Teaching Assistants, All Other",Decline,170400
13%,11-3012.00,Administrative Services Managers,Faster than average,23200
13%,27-3091.00,Interpreters and Translators,Slower than average,6900
13%,19-3039.00,"Psychologists, All Other",Average,3900
13%,19-3039.02,Neuropsychologists,Average,3900
13%,19-3039.03,Clinical Neuropsychologists,Average,3900
13%,13-2071.00,Credit Counselors,Average,2200
12%,13-1151.00,Training and Development Specialists,Much faster than average,43900
12%,39-5094.00,Skincare Specialists,Much faster than average,14500
12%,51-9081.00,Dental Laboratory Technicians,Decline,3900
12%,25-2059.00,"Special Education Teachers, All Other",Slower than average,2900
12%,25-2059.01,Adapted Physical Education Specialists,Slower than average,2900
12%,19-2012.00,Physicists,Average,1700
11%,43-9061.00,"Office Clerks, General",Decline,282400
11%,13-1071.00,Human Resources Specialists,Faster than average,81800
11%,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Decline,50000
11%,43-5021.00,Couriers and Messengers,Much faster than average,27900
11%,43-3011.00,Bill and Account Collectors,Decline,13700
11%,11-3013.00,Facilities Managers,Average,13200
11%,11-3013.01,Security Managers,Average,13200
11%,43-9021.00,Data Entry Keyers,Decline,9500
11%,19-4021.00,Biological Technicians,Average,9100
10%,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Decline,202800
10%,43-4071.00,File Clerks,Decline,7300
10%,11-3131.00,Training and Development Managers,Faster than average,3800
10%,17-2031.00,Bioengineers and Biomedical Engineers,Faster than average,1300
