Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
24%,23-2099.00,"Legal Support Workers, All Other",Decline,4700
24%,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Average,1500
24%,17-2111.02,Fire-Prevention and Protection Engineers,Average,1500
23%,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Average,123000
23%,15-1242.00,Database Administrators,Decline,3800
23%,27-1021.00,Commercial and Industrial Designers,Average,2500
23%,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Slower than average,1300
23%,17-3024.01,Robotics Technicians,Slower than average,1300
23%,19-3011.00,Economists,Slower than average,900
23%,19-3011.01,Environmental Economists,Slower than average,900
22%,15-2031.00,Operations Research Analysts,Much faster than average,9600
22%,11-2032.00,Public Relations Managers,Faster than average,6600
22%,17-3013.00,Mechanical Drafters,Decline,3300
21%,27-3031.00,Public Relations Specialists,Faster than average,27600
21%,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Slower than average,8400
21%,17-2072.00,"Electronics Engineers, Except Computer",Faster than average,5700
21%,17-2072.01,Radio Frequency Identification Device Specialists,Faster than average,5700
21%,17-3019.00,"Drafters, All Other",Decline,1300
20%,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",Average,10600
20%,19-4099.01,Quality Control Analysts,Average,10600
20%,19-4099.03,Remote Sensing Technicians,Average,10600
20%,53-6041.00,Traffic Technicians,Average,800
19%,27-4021.00,Photographers,Slower than average,12700
19%,19-1012.00,Food Scientists and Technologists,Much faster than average,1200
18%,43-4071.00,File Clerks,Decline,7300
18%,19-3093.00,Historians,Slower than average,300
17%,43-3051.00,Payroll and Timekeeping Clerks,Decline,13000
17%,27-1011.00,Art Directors,Average,12300
17%,43-9021.00,Data Entry Keyers,Decline,9500
17%,51-9151.00,Photographic Process Workers and Processing Machine Operators,Decline,1500
17%,19-4051.00,Nuclear Technicians,Decline,700
17%,19-4051.02,Nuclear Monitoring Technicians,Decline,700
16%,19-3032.00,Industrial-Organizational Psychologists,Faster than average,400
16%,19-4044.00,Hydrologic Technicians,Decline,400
16%,15-2021.00,Mathematicians,Decline,100
15%,13-1081.00,Logisticians,Much faster than average,26400
15%,13-1081.01,Logistics Engineers,Much faster than average,26400
15%,13-1081.02,Logistics Analysts,Much faster than average,26400
15%,11-3121.00,Human Resources Managers,Faster than average,17900
15%,27-3041.00,Editors,Slower than average,9800
15%,19-3094.00,Political Scientists,Decline,500
15%,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",Decline,500
14%,13-1071.00,Human Resources Specialists,Faster than average,81800
14%,11-3031.00,Financial Managers,Much faster than average,74600
14%,11-3031.01,Treasurers and Controllers,Much faster than average,74600
14%,11-3031.03,Investment Fund Managers,Much faster than average,74600
14%,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Slower than average,27200
14%,41-4011.07,Solar Sales Representatives and Assessors,Slower than average,27200
14%,17-2112.00,Industrial Engineers,Much faster than average,25200
14%,17-2112.01,Human Factors Engineers and Ergonomists,Much faster than average,25200
14%,17-2112.02,Validation Engineers,Much faster than average,25200
14%,17-2112.03,Manufacturing Engineers,Much faster than average,25200
14%,27-2011.00,Actors,Little or no change,6300
14%,19-5012.00,Occupational Health and Safety Technicians,Much faster than average,3400
14%,15-2011.00,Actuaries,Much faster than average,2400
14%,19-1023.00,Zoologists and Wildlife Biologists,Slower than average,1400
13%,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Decline,170000
13%,13-1199.00,"Business Operations Specialists, All Other",Average,108200
13%,13-1199.04,Business Continuity Planners,Average,108200
13%,13-1199.05,Sustainability Specialists,Average,108200
13%,13-1199.06,Online Merchants,Average,108200
13%,13-1199.07,Security Management Specialists,Average,108200
13%,11-2022.00,Sales Managers,Faster than average,49000
13%,43-3021.00,Billing and Posting Clerks,Little or no change,42200
13%,13-2051.00,Financial and Investment Analysts,Faster than average,25100
13%,11-1011.00,Chief Executives,Average,22200
13%,11-1011.03,Chief Sustainability Officers,Average,22200
13%,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Faster than average,8500
13%,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Decline,6900
13%,19-3099.00,"Social Scientists and Related Workers, All Other",Decline,3200
13%,19-3099.01,Transportation Planners,Decline,3200
13%,19-2099.00,"Physical Scientists, All Other",Slower than average,2000
13%,19-2099.01,Remote Sensing Scientists and Technologists,Slower than average,2000
13%,11-3111.00,Compensation and Benefits Managers,Little or no change,1500
13%,43-4021.00,Correspondence Clerks,Decline,700
12%,11-1021.00,General and Operations Managers,Average,308700
12%,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Decline,50000
12%,13-1151.00,Training and Development Specialists,Much faster than average,43900
12%,11-3131.00,Training and Development Managers,Faster than average,3800
12%,27-4032.00,Film and Video Editors,Average,3600
12%,19-3051.00,Urban and Regional Planners,Average,3400
12%,43-9031.00,Desktop Publishers,Decline,400
11%,43-4171.00,Receptionists and Information Clerks,Little or no change,128500
11%,39-2021.00,Animal Caretakers,Much faster than average,74600
11%,19-5011.00,Occupational Health and Safety Specialists,Much faster than average,14900
11%,27-3043.00,Writers and Authors,Average,13400
11%,27-3043.05,"Poets, Lyricists and Creative Writers",Average,13400
11%,17-3026.00,Industrial Engineering Technologists and Technicians,Slower than average,6300
11%,17-3026.01,Nanotechnology Engineering Technologists and Technicians,Slower than average,6300
11%,13-2071.00,Credit Counselors,Average,2200
10%,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Decline,202800
10%,11-3012.00,Administrative Services Managers,Faster than average,23200
10%,27-1026.00,Merchandise Displayers and Window Trimmers,Average,20800
10%,43-4111.00,"Interviewers, Except Eligibility and Loan",Decline,15800
10%,27-2012.00,Producers and Directors,Faster than average,12800
10%,27-2012.03,Media Programming Directors,Faster than average,12800
10%,27-2012.04,Talent Directors,Faster than average,12800
10%,27-2012.05,Media Technical Directors/Managers,Faster than average,12800
10%,13-2054.00,Financial Risk Specialists,Much faster than average,4800
10%,13-2031.00,Budget Analysts,Slower than average,3100
10%,27-4031.00,"Camera Operators, Television, Video, and Film",Slower than average,2900
10%,43-9071.00,"Office Machine Operators, Except Computer",Decline,2800
10%,49-9069.00,"Precision Instrument and Equipment Repairers, All Other",Slower than average,1000
10%,19-1041.00,Epidemiologists,Much faster than average,800
