Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
26%,13-2099.01,Financial Quantitative Analysts,Average,10300
26%,13-2099.04,"Fraud Examiners, Investigators and Analysts",Average,10300
26%,25-4013.00,Museum Technicians and Conservators,Faster than average,1900
26%,27-1019.00,"Artists and Related Workers, All Other",Slower than average,1200
25%,21-1091.00,Health Education Specialists,Faster than average,7900
25%,15-2041.00,Statisticians,Much faster than average,2000
25%,15-2041.01,Biostatisticians,Much faster than average,2000
25%,15-2099.00,"Mathematical Science Occupations, All Other",Average,300
25%,15-2099.01,Bioinformatics Technicians,Average,300
25%,17-2021.00,Agricultural Engineers,Faster than average,100
24%,17-2051.00,Civil Engineers,Faster than average,23600
24%,17-2051.01,Transportation Engineers,Faster than average,23600
24%,17-2051.02,Water/Wastewater Engineers,Faster than average,23600
24%,19-4042.00,"Environmental Science and Protection Technicians, Including Health",Average,5600
24%,39-3019.00,"Gambling Service Workers, All Other",Decline,2600
24%,25-4011.00,Archivists,Average,1100
23%,15-1299.00,"Computer Occupations, All Other",Much faster than average,31300
23%,15-1299.01,Web Administrators,Much faster than average,31300
23%,15-1299.02,Geographic Information Systems Technologists and Technicians,Much faster than average,31300
23%,15-1299.03,Document Management Specialists,Much faster than average,31300
23%,15-1299.04,Penetration Testers,Much faster than average,31300
23%,15-1299.05,Information Security Engineers,Much faster than average,31300
23%,15-1299.06,Digital Forensics Analysts,Much faster than average,31300
23%,15-1299.07,Blockchain Engineers,Much faster than average,31300
23%,15-1299.08,Computer Systems Engineers/Architects,Much faster than average,31300
23%,15-1299.09,Information Technology Project Managers,Much faster than average,31300
23%,43-9199.00,"Office and Administrative Support Workers, All Other",Decline,21300
23%,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",Decline,500
23%,19-1099.00,"Life Scientists, All Other",Average,400
22%,43-3061.00,Procurement Clerks,Decline,4600
22%,19-3041.00,Sociologists,Average,300
21%,21-1015.00,Rehabilitation Counselors,Slower than average,10000
21%,21-1094.00,Community Health Workers,Much faster than average,7800
21%,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Much faster than average,5500
21%,31-1133.00,Psychiatric Aides,Little or no change,5300
21%,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Decline,4700
21%,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Much faster than average,2900
21%,49-9097.00,Signal and Track Switch Repairers,Slower than average,800
20%,11-9121.00,Natural Sciences Managers,Average,8500
20%,11-9121.01,Clinical Research Coordinators,Average,8500
20%,11-9121.02,Water Resource Specialists,Average,8500
20%,43-4071.00,File Clerks,Decline,7300
20%,13-2061.00,Financial Examiners,Much faster than average,5700
20%,51-8021.00,Stationary Engineers and Boiler Operators,Slower than average,3800
20%,19-1022.00,Microbiologists,Average,1700
20%,51-8099.00,"Plant and System Operators, All Other",Slower than average,1600
20%,51-8099.01,Biofuels Processing Technicians,Slower than average,1600
20%,29-1125.00,Recreational Therapists,Average,1300
20%,53-5031.00,Ship Engineers,Slower than average,1100
20%,17-2161.00,Nuclear Engineers,Decline,800
19%,21-1093.00,Social and Human Service Assistants,Faster than average,50600
19%,23-1011.00,Lawyers,Average,31500
19%,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Decline,21100
19%,31-9099.00,"Healthcare Support Workers, All Other",Average,14400
19%,31-9099.01,Speech-Language Pathology Assistants,Average,14400
19%,31-9099.02,Endoscopy Technicians,Average,14400
19%,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Average,2000
19%,49-9069.00,"Precision Instrument and Equipment Repairers, All Other",Slower than average,1000
19%,51-4192.00,"Layout Workers, Metal and Plastic",Decline,500
18%,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Average,41900
18%,11-9151.00,Social and Community Service Managers,Faster than average,18600
18%,19-5011.00,Occupational Health and Safety Specialists,Much faster than average,14900
18%,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Decline,9000
18%,19-3039.00,"Psychologists, All Other",Average,3900
18%,19-3039.02,Neuropsychologists,Average,3900
18%,19-3039.03,Clinical Neuropsychologists,Average,3900
18%,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Decline,1400
18%,43-9111.00,Statistical Assistants,Decline,800
17%,13-1111.00,Management Analysts,Much faster than average,98100
17%,11-3012.00,Administrative Services Managers,Faster than average,23200
17%,11-9039.00,"Education Administrators, All Other",Average,4100
17%,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Slower than average,3900
17%,47-2151.00,Pipelayers,Decline,2400
17%,25-4012.00,Curators,Much faster than average,1800
17%,53-6099.00,"Transportation Workers, All Other",Average,1200
17%,39-3012.00,Gambling and Sports Book Writers and Runners,Decline,1200
17%,17-3025.00,Environmental Engineering Technologists and Technicians,Slower than average,1100
17%,51-8012.00,Power Distributors and Dispatchers,Decline,800
16%,13-1081.00,Logisticians,Much faster than average,26400
16%,13-1081.01,Logistics Engineers,Much faster than average,26400
16%,13-1081.02,Logistics Analysts,Much faster than average,26400
16%,25-3099.00,"Teachers and Instructors, All Other",Little or no change,18000
16%,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Faster than average,13400
16%,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Slower than average,8400
16%,17-2072.00,"Electronics Engineers, Except Computer",Faster than average,5700
16%,17-2072.01,Radio Frequency Identification Device Specialists,Faster than average,5700
16%,51-8013.00,Power Plant Operators,Decline,2500
16%,51-8013.03,Biomass Plant Technicians,Decline,2500
16%,51-8013.04,Hydroelectric Plant Technicians,Decline,2500
16%,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Faster than average,2000
15%,19-4021.00,Biological Technicians,Average,9100
15%,17-2011.00,Aerospace Engineers,Faster than average,4500
15%,19-1013.00,Soil and Plant Scientists,Faster than average,1700
15%,19-2012.00,Physicists,Average,1700
15%,25-9021.00,Farm and Home Management Educators,Decline,1100
14%,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Decline,50000
14%,43-6012.00,Legal Secretaries and Administrative Assistants,Decline,19600
14%,21-1023.00,Mental Health and Substance Abuse Social Workers,Much faster than average,13500
14%,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Faster than average,8500
14%,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Average,4000
14%,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",Average,2600
14%,29-9099.01,Midwives,Average,2600
14%,17-2121.00,Marine Engineers and Naval Architects,Faster than average,600
14%,53-5022.00,Motorboat Operators,Slower than average,300
13%,,Buyers and Purchasing Agents,Faster than average,52200
13%,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Faster than average,52200
13%,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Faster than average,52200
13%,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Faster than average,52200
13%,23-2011.00,Paralegals and Legal Assistants,Little or no change,39300
